IST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-5-26,29,24,19,16,13,8,78,53,28,1015,1014,1013,,,,27,10,,0.00,,,335<br />
2003-5-27,26,22,19,16,15,14,73,62,50,1014,1013,1011,10,10,10,21,10,,0.00,4,,280<br />
2003-5-28,27,23,19,16,14,13,78,60,42,1013,1010,1009,10,10,10,16,8,,0.00,2,,4<br />
2003-5-29,42,31,20,15,9,5,68,29,11,1008,1002,998,9,5,1,29,11,50,0.00,,,165<br />
2003-5-30,27,24,22,19,14,8,69,50,32,1010,1007,1004,10,7,1,29,14,,0.00,4,,240<br />
2003-5-31,27,23,20,17,15,13,73,60,42,1012,1010,1009,10,10,9,27,11,,0.00,2,,225<br />
2003-6-1,28,23,19,17,15,11,78,59,39,1013,1012,1011,10,10,9,23,11,,0.00,2,,239<br />
2003-6-2,28,23,19,17,16,13,83,63,39,1014,1013,1012,10,10,9,19,10,,0.00,1,,302<br />
2003-6-3,28,23,18,17,15,12,83,60,37,1015,1013,1012,10,9,8,19,8,,0.00,1,,343<br />
2003-6-4,27,23,19,18,16,14,78,64,47,1015,1014,1012,10,10,9,24,8,,0.00,3,,17<br />
2003-6-5,29,24,20,19,18,17,83,67,54,1013,1012,1010,10,9,7,24,8,,0.00,2,,330<br />
2003-6-6,30,26,22,20,18,16,83,65,43,1011,1010,1008,10,8,6,16,8,,0.00,4,,223<br />
2003-6-7,29,24,21,20,18,16,83,65,45,1010,1009,1008,10,9,8,21,11,,0.00,3,,203<br />
2003-6-8,31,24,19,20,16,11,78,59,29,1011,1010,1009,10,9,7,19,8,,0.00,3,,222<br />
2003-6-9,29,26,22,20,18,14,83,67,40,1012,1011,1010,10,9,7,21,11,,0.00,3,,240<br />
2003-6-10,29,24,20,19,18,17,83,68,48,1012,1011,1010,10,8,4,16,8,,0.00,3,,202<br />
2003-6-11,28,24,21,20,18,17,83,71,54,1010,1009,1008,9,7,4,19,8,,0.00,3,,218<br />
2003-6-12,29,26,22,20,18,8,83,68,30,1010,1008,1007,10,9,5,21,11,,0.00,3,,204<br />
2003-6-13,29,26,22,19,18,17,83,68,51,1009,1008,1007,10,10,8,19,10,,0.00,3,,234<br />
2003-6-14,29,26,23,19,18,17,78,64,51,1008,1007,1007,10,10,8,21,8,,0.00,3,,233<br />
2003-6-15,31,26,22,21,19,17,78,65,43,1008,1007,1006,10,9,8,16,10,,0.00,1,,244<br />
2003-6-16,33,27,22,20,18,12,83,62,28,1007,1006,1005,8,6,4,21,8,,0.00,3,,198<br />
2003-6-17,35,28,21,18,12,8,73,41,19,1008,1007,1005,,,,24,8,,0.00,,,340<br />
2003-6-18,31,26,21,19,14,11,65,48,31,1009,1008,1007,10,9,9,21,8,,0.00,0,,314<br />
2003-6-19,30,26,22,21,18,15,78,63,42,1009,1008,1007,10,10,8,19,10,,0.00,2,,227<br />
2003-6-20,29,26,23,21,19,18,83,68,51,1008,1007,1006,10,9,5,23,13,,0.00,3,,207<br />
2003-6-21,29,26,22,20,19,18,83,67,51,1009,1007,1006,10,10,9,26,13,,0.00,2,,215<br />
2003-6-22,30,26,22,20,19,17,83,66,45,1010,1009,1008,10,10,8,26,13,,0.00,3,,244<br />
2003-6-23,29,26,22,20,19,18,78,66,51,1012,1011,1009,10,10,8,19,10,,0.00,2,,253<br />
2003-6-24,30,26,22,21,20,18,83,69,51,1011,1010,1009,10,9,7,23,10,,0.00,2,,313<br />
2003-6-25,32,27,23,21,20,18,83,65,46,1009,1008,1006,10,7,5,19,6,,0.00,3,,350<br />
2003-6-26,32,27,22,20,18,15,78,58,42,1006,1006,1005,10,9,7,23,10,,0.00,2,,232<br />
2003-6-27,33,27,21,19,16,12,78,54,28,1008,1007,1006,10,10,10,19,10,,0.00,2,,221<br />
2003-6-28,32,27,22,21,18,10,78,59,27,1009,1008,1007,10,10,9,19,10,,0.00,3,,251<br />
2003-6-29,31,26,21,21,19,17,83,65,46,1008,1007,1006,10,8,6,21,8,,0.00,2,,261<br />
2003-6-30,32,27,22,22,20,17,78,67,49,1006,1004,1003,10,9,7,24,13,,0.00,2,,205<br />
2003-7-1,31,27,24,22,21,18,83,67,48,1003,1002,1001,10,9,8,24,14,,0.00,3,,226<br />
2003-7-2,33,28,23,22,19,14,83,61,31,1008,1006,1003,10,8,7,23,10,,0.00,2,,270<br />
2003-7-3,35,28,22,22,18,13,83,55,26,1010,1009,1008,10,9,8,21,8,,0.00,0,,4<br />
2003-7-4,34,28,22,22,18,13,83,56,29,1010,1008,1007,9,8,7,26,11,,0.00,0,,356<br />
2003-7-5,32,26,21,21,18,14,78,58,43,1006,1006,1005,10,9,9,21,8,,0.00,3,,263<br />
2003-7-6,35,29,23,22,16,7,78,50,19,1006,1006,1005,9,9,9,24,10,,0.00,0,,227<br />
2003-7-7,32,28,25,22,21,20,78,65,52,1006,1005,1004,10,9,6,24,13,,0.00,3,,224<br />
2003-7-8,30,27,24,20,19,15,74,61,40,1005,1004,1004,10,10,10,24,14,,0.00,3,,224<br />
2003-7-9,30,27,23,20,19,18,78,63,48,1009,1006,1005,10,10,9,26,16,,0.00,2,,229<br />
2003-7-10,30,27,23,21,19,18,78,63,48,1010,1009,1008,10,10,9,24,13,,0.00,3,,242<br />
2003-7-11,31,27,23,20,19,16,83,62,48,1009,1008,1007,10,9,7,23,10,,0.00,2,,266<br />
2003-7-12,31,27,23,20,18,15,74,58,40,1009,1008,1007,10,10,10,26,10,,0.00,1,,236<br />
2003-7-13,30,26,22,21,18,17,78,63,48,1009,1008,1007,10,10,9,23,13,,0.00,2,,217<br />
2003-7-14,30,27,24,21,19,17,78,65,48,1009,1008,1007,10,9,7,24,13,,0.00,2,,221<br />
2003-7-15,30,27,23,21,19,18,78,64,51,1009,1008,1007,10,10,8,19,13,,0.00,3,,234<br />
2003-7-16,32,28,24,21,19,17,78,63,43,1009,1008,1007,10,9,8,19,11,,0.00,3,,227<br />
2003-7-17,30,26,22,21,19,16,78,66,55,1008,1007,1006,10,10,9,19,13,,0.00,3,,224<br />
2003-7-18,31,26,22,21,20,18,83,66,49,1007,1006,1005,10,8,5,19,10,,0.00,2,,236<br />
2003-7-19,32,27,22,23,20,17,78,65,49,1006,1005,1005,10,9,8,19,6,,0.00,1,,318<br />
2003-7-20,34,28,22,22,18,12,83,54,29,1008,1006,1005,8,8,7,23,11,,0.00,1,,341<br />
2003-7-21,33,27,22,22,17,9,74,55,40,1010,1008,1007,10,10,10,21,8,,0.00,1,,236<br />
2003-7-22,30,27,24,21,21,19,83,67,51,1010,1009,1008,10,10,9,19,13,,0.00,2,,222<br />
2003-7-23,31,27,24,22,21,20,78,68,52,1008,1007,1006,10,9,8,24,13,,0.00,3,,218<br />
2003-7-24,31,27,24,22,21,15,83,66,38,1007,1006,1006,10,9,7,21,14,,0.00,2,,212<br />
2003-7-25,31,27,24,22,19,14,78,62,49,1006,1005,1004,10,10,10,26,13,,0.00,2,,219<br />
2003-7-26,31,27,23,22,20,12,78,63,50,1004,1004,1003,10,10,9,26,13,,0.00,2,,221<br />
2003-7-27,31,27,24,22,21,19,83,67,49,1005,1005,1004,10,9,7,23,13,,0.00,2,,239<br />
2003-7-28,31,27,24,21,20,19,74,64,51,1007,1006,1005,10,9,7,21,11,,0.00,2,,247<br />
2003-7-29,32,28,24,22,21,18,78,66,46,1008,1007,1006,10,9,7,23,8,,0.00,2,,284<br />
2003-7-30,32,28,24,22,21,17,78,64,43,1007,1006,1005,10,10,9,21,10,,0.00,2,,272<br />
2003-7-31,33,27,22,21,19,16,78,59,36,1006,1006,1005,10,9,9,26,10,,0.00,1,,349<br />
2003-8-1,33,27,20,21,18,11,74,54,40,1008,1007,1005,10,10,10,24,10,,0.00,2,,7<br />
2003-8-2,33,29,25,23,22,19,74,65,49,1010,1009,1008,10,10,9,21,8,,0.00,3,,292<br />
2003-8-3,33,29,25,23,21,16,83,65,36,1010,1009,1009,10,9,5,21,8,,0.00,2,,245<br />
2003-8-4,32,28,25,22,21,19,78,66,46,1009,1009,1008,10,9,8,21,13,,0.00,2,,235<br />
2003-8-5,32,28,25,22,21,19,78,64,49,1009,1008,1007,10,9,7,19,11,,0.00,2,,232<br />
2003-8-6,31,28,25,21,20,19,74,63,49,1008,1006,1005,10,10,8,19,11,,0.00,2,,244<br />
2003-8-7,32,28,25,21,20,18,78,63,46,1006,1005,1005,10,9,7,16,8,,0.00,4,,224<br />
2003-8-8,32,28,24,23,21,19,78,67,49,1007,1006,1006,10,10,8,19,10,,0.00,2,,235<br />
2003-8-9,32,28,24,23,22,21,83,69,55,1007,1006,1005,10,9,6,19,8,,0.00,1,,269<br />
2003-8-10,33,29,26,23,22,21,79,67,49,1008,1007,1005,10,10,8,23,10,,0.00,3,,295<br />
2003-8-11,32,28,25,22,21,19,83,64,49,1011,1009,1008,10,10,8,23,8,,0.00,2,,325<br />
2003-8-12,32,28,24,21,20,18,74,62,46,1012,1011,1010,10,10,10,24,10,,0.00,3,,327<br />
2003-8-13,32,28,25,22,21,20,74,64,49,1011,1009,1008,10,10,8,21,10,,0.00,2,,256<br />
