CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-6-2,28,24,22,23,21,18,100,79,66,1015,1013,1011,10,8,3,23,14,,0.00,5,Rain,79<br />
2001-6-3,30,27,23,24,23,22,94,84,70,1014,1011,1009,10,8,6,13,6,,0.00,6,Rain,323<br />
2001-6-4,31,27,24,26,25,24,100,84,66,1009,1006,1004,10,8,6,16,3,,0.00,5,Thunderstorm,303<br />
2001-6-5,33,29,25,26,24,23,100,80,59,1007,1005,1004,10,10,1,29,3,58,0.00,5,Rain-Thunderstorm,293<br />
2001-6-6,31,28,25,26,24,24,94,85,66,1009,1007,1005,10,10,7,16,3,,0.00,6,Thunderstorm,330<br />
2001-6-7,32,28,24,26,24,24,100,85,66,1009,1007,1006,10,10,3,21,5,,0.00,6,Rain-Thunderstorm,78<br />
2001-6-8,32,28,24,26,24,23,94,84,62,1009,1007,1006,10,10,4,19,3,,0.00,6,Rain-Thunderstorm,330<br />
2001-6-9,32,28,25,26,24,23,94,81,62,1008,1007,1006,10,9,3,14,3,,0.00,5,Rain-Thunderstorm,347<br />
2001-6-10,33,29,25,26,24,23,89,76,62,1007,1006,1004,10,10,10,19,5,,0.00,4,,265<br />
2001-6-11,34,30,26,26,24,23,89,71,52,1007,1005,1004,10,10,10,24,8,40,0.00,6,,265<br />
2001-6-12,33,30,27,26,24,23,84,70,55,1006,1005,1003,10,10,9,24,8,40,0.00,5,Thunderstorm,264<br />
2001-6-13,36,31,26,25,24,22,89,68,47,1004,1001,998,10,10,10,35,10,52,0.00,5,,266<br />
2001-6-14,29,26,23,26,24,23,100,87,70,1005,1002,1000,10,10,7,24,8,,0.00,6,Rain-Thunderstorm,289<br />
2001-6-15,29,27,24,26,25,24,100,93,79,1008,1006,1005,10,8,5,14,5,,0.00,6,Rain,336<br />
2001-6-16,32,28,24,26,25,24,100,89,70,1009,1008,1007,10,9,4,14,2,,0.00,4,Rain-Thunderstorm,47<br />
2001-6-17,33,28,24,27,25,23,100,88,66,1009,1008,1006,10,9,7,13,2,,0.00,3,Rain-Thunderstorm,63<br />
2001-6-18,33,29,25,26,24,23,94,78,62,1007,1004,1003,10,10,10,13,3,,0.00,4,,306<br />
2001-6-19,31,29,27,26,24,23,94,79,62,1002,1001,1000,10,10,9,16,2,,0.00,6,Rain,67<br />
2001-6-20,32,29,27,26,24,24,84,78,62,1005,1002,1000,10,10,7,11,6,,0.00,6,Rain,275<br />
2001-6-21,34,30,26,27,26,24,94,79,63,1006,1004,1003,10,9,7,13,3,,0.00,4,,30<br />
2001-6-22,35,31,28,26,26,24,89,73,53,1005,1003,1001,10,9,6,40,13,61,0.00,3,,94<br />
2001-6-23,31,29,27,26,24,23,89,73,66,1002,1000,997,10,10,10,40,27,58,0.00,6,Rain,97<br />
2001-6-24,33,29,26,26,26,24,94,80,66,1009,1006,1003,10,10,10,13,5,,0.00,6,,61<br />
2001-6-25,34,30,27,27,26,24,94,80,62,1010,1008,1007,10,10,7,23,6,,0.00,4,Rain-Thunderstorm,89<br />
